AOI_setting,ml,features,acc
Title_para_questions,logistic,"('Text ID', 'Paragraph_Number', 'Answer', 'Flag')",0.4573611111111111
Title_para_questions,logistic,"('Text ID', 'Paragraph_Number', 'Difficulty_1')",0.48847222222222225
Title_para_questions,logistic,"('Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",0.4804166666666667
Title_para_questions,logistic,"('Text ID', 'Paragraph_Number', 'Flag')",0.4595833333333333
Title_para_questions,logistic,"('Text ID',)",0.47375000000000006
Title_para_questions,logistic,(),0.48625
Title_para_questions,randomForest,"(' AOI Name', 'Answer')",0.5744444444444444
Title_para_questions,randomForest,"(' AOI Name', 'Answer', 'Difficulty_1')",0.5534722222222221
Title_para_questions,randomForest,"(' AOI Name', 'Answer', 'Difficulty_1', 'Flag')",0.561111111111111
Title_para_questions,randomForest,"(' AOI Name', 'Answer', 'Flag')",0.584861111111111
Title_para_questions,randomForest,"(' AOI Name', 'Difficulty_1')",0.5780555555555555
Title_para_questions,randomForest,"(' AOI Name', 'Difficulty_1', 'Flag')",0.5816666666666667
Title_para_questions,randomForest,"(' AOI Name', 'Flag')",0.5770833333333334
Title_para_questions,randomForest,"(' AOI Name', 'Paragraph_Number')",0.5922222222222223
Title_para_questions,randomForest,"(' AOI Name', 'Paragraph_Number', 'Answer')",0.5543055555555556
Title_para_questions,randomForest,"(' AOI Name', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.5480555555555556
Title_para_questions,randomForest,"(' AOI Name', 'Paragraph_Number', 'Answer', 'Difficulty_1', 'Flag')",0.5538888888888889
Title_para_questions,randomForest,"(' AOI Name', 'Paragraph_Number', 'Answer', 'Flag')",0.5672222222222222
Title_para_questions,randomForest,"(' AOI Name', 'Paragraph_Number', 'Difficulty_1')",0.5945833333333334
Title_para_questions,randomForest,"(' AOI Name', 'Paragraph_Number', 'Difficulty_1', 'Flag')",0.57125
Title_para_questions,randomForest,"(' AOI Name', 'Paragraph_Number', 'Flag')",0.6051388888888889
Title_para_questions,randomForest,"(' AOI Name', 'Text ID')",0.5776388888888889
Title_para_questions,randomForest,"(' AOI Name', 'Text ID', 'Answer')",0.5669444444444444
Title_para_questions,randomForest,"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1')",0.5690277777777778
Title_para_questions,randomForest,"(' AOI Name', 'Text ID', 'Answer', 'Difficulty_1', 'Flag')",0.5422222222222223
Title_para_questions,randomForest,"(' AOI Name', 'Text ID', 'Answer', 'Flag')",0.5530555555555555
Title_para_questions,randomForest,"(' AOI Name', 'Text ID', 'Difficulty_1')",0.5691666666666667
Title_para_questions,randomForest,"(' AOI Name', 'Text ID', 'Difficulty_1', 'Flag')",0.5830555555555555
Title_para_questions,randomForest,"(' AOI Name', 'Text ID', 'Flag')",0.5645833333333333
Title_para_questions,randomForest,"(' AOI Name', 'Text ID', 'Paragraph_Number')",0.5801388888888889
Title_para_questions,randomForest,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer')",0.5509722222222222
Title_para_questions,randomForest,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.555
Title_para_questions,randomForest,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1', 'Flag')",0.5681944444444444
Title_para_questions,randomForest,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Answer', 'Flag')",0.535
Title_para_questions,randomForest,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1')",0.5804166666666667
Title_para_questions,randomForest,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",0.5959722222222222
Title_para_questions,randomForest,"(' AOI Name', 'Text ID', 'Paragraph_Number', 'Flag')",0.5705555555555556
Title_para_questions,randomForest,"(' AOI Name',)",0.5686111111111111
Title_para_questions,randomForest,"('Answer', 'Difficulty_1')",0.5508333333333334
Title_para_questions,randomForest,"('Answer', 'Difficulty_1', 'Flag')",0.5445833333333333
Title_para_questions,randomForest,"('Answer', 'Flag')",0.5563888888888888
Title_para_questions,randomForest,"('Answer',)",0.5716666666666668
Title_para_questions,randomForest,"('Difficulty_1', 'Flag')",0.5591666666666667
Title_para_questions,randomForest,"('Difficulty_1',)",0.5730555555555555
Title_para_questions,randomForest,"('Flag',)",0.5727777777777777
Title_para_questions,randomForest,"('Paragraph_Number', 'Answer')",0.5508333333333333
Title_para_questions,randomForest,"('Paragraph_Number', 'Answer', 'Difficulty_1')",0.540138888888889
Title_para_questions,randomForest,"('Paragraph_Number', 'Answer', 'Difficulty_1', 'Flag')",0.5588888888888889
Title_para_questions,randomForest,"('Paragraph_Number', 'Answer', 'Flag')",0.5570833333333334
Title_para_questions,randomForest,"('Paragraph_Number', 'Difficulty_1')",0.5693055555555556
Title_para_questions,randomForest,"('Paragraph_Number', 'Difficulty_1', 'Flag')",0.5865277777777779
Title_para_questions,randomForest,"('Paragraph_Number', 'Flag')",0.5945833333333332
Title_para_questions,randomForest,"('Paragraph_Number',)",0.5547222222222222
Title_para_questions,randomForest,"('Text ID', 'Answer')",0.5552777777777778
Title_para_questions,randomForest,"('Text ID', 'Answer', 'Difficulty_1')",0.5513888888888889
Title_para_questions,randomForest,"('Text ID', 'Answer', 'Difficulty_1', 'Flag')",0.5477777777777778
Title_para_questions,randomForest,"('Text ID', 'Answer', 'Flag')",0.5536111111111112
Title_para_questions,randomForest,"('Text ID', 'Difficulty_1')",0.5595833333333333
Title_para_questions,randomForest,"('Text ID', 'Difficulty_1', 'Flag')",0.5663888888888889
Title_para_questions,randomForest,"('Text ID', 'Flag')",0.5663888888888889
Title_para_questions,randomForest,"('Text ID', 'Paragraph_Number')",0.57125
Title_para_questions,randomForest,"('Text ID', 'Paragraph_Number', 'Answer')",0.5331944444444444
Title_para_questions,randomForest,"('Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1')",0.5254166666666666
Title_para_questions,randomForest,"('Text ID', 'Paragraph_Number', 'Answer', 'Difficulty_1', 'Flag')",0.5523611111111111
Title_para_questions,randomForest,"('Text ID', 'Paragraph_Number', 'Answer', 'Flag')",0.5384722222222221
Title_para_questions,randomForest,"('Text ID', 'Paragraph_Number', 'Difficulty_1')",0.5547222222222222
Title_para_questions,randomForest,"('Text ID', 'Paragraph_Number', 'Difficulty_1', 'Flag')",0.5847222222222223
Title_para_questions,randomForest,"('Text ID', 'Paragraph_Number', 'Flag')",0.5534722222222223
Title_para_questions,randomForest,"('Text ID',)",0.5765277777777778
Title_para_questions,randomForest,(),0.5704166666666666
